queue_rank,candidate_id,bindingdb_monomer_id,standardized_inchikey,doi,pmid,pmcids,article_titles,pass_1_status,fulltext_available,pass_2_required,external_cohort_admitted
61,BDB-50298523,50298523,KASKCLZTEOJTOF-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038,19501513,,Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.,metadata_pass_needs_fulltext,False,True,False
62,BDB-50133368,50133368,OOTVLKSCGYKBDY-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038|10.1021/jm030852k,13678407|19501513,,"Pyrazolo[4,3-e]-1,2,4-triazolo[1,5-c]pyrimidine derivatives as adenosine receptor antagonists. Influence of the N5 substituent on the affinity at the human A 3 and A 2B adenosine receptor subtypes: a molecular modeling investigation. | Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.",metadata_pass_needs_fulltext,False,True,False
63,BDB-50315633,50315633,UDLCSCAETZRITG-UHFFFAOYSA-N,10.1021/jm100049f,20307065,,The significance of 2-furyl ring substitution with a 2-(para-substituted) aryl group in a new series of pyrazolo-triazolo-pyrimidines as potent and highly selective hA(3) adenosine receptors antagonists: new insights into structure-affinity relationship and receptor-antagonist recognition.,metadata_pass_needs_fulltext,False,True,False
64,BDB-50116381,50116381,MRCLOFVOQWMJPM-UHFFFAOYSA-N,10.1021/jm0208469,12139445,,"Pyrido[2,1-f]purine-2,4-dione derivatives as a novel class of highly potent human A(3) adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
65,BDB-26250,26250,FKWNFEDFTOOVQH-UHFFFAOYSA-N,10.1021/jm800851u,18947224,,"Lead optimization of 4-acetylamino-2-(3,5-dimethylpyrazol-1-yl)-6-pyridylpyrimidines as A2A adenosine receptor antagonists for the treatment of Parkinson's disease.",metadata_pass_needs_fulltext,False,True,False
66,BDB-50508676,50508676,LPOBTRHTHNJVJG-UHFFFAOYSA-N,10.1016/j.bmcl.2018.12.062,30638876,,"Novel human adenosine receptor antagonists based on the 7-amino-thiazolo[5,4-d]pyrimidine scaffold. Structural investigations at the 2-, 5- and 7-positions to enhance affinity and tune selectivity.",metadata_pass_needs_fulltext,False,True,False
67,BDB-50580311,50580311,AWMBFBCZLVOQAV-UHFFFAOYSA-N,10.1021/acs.jmedchem.1c01155,34783558,,Structure-Based Design of Dual-Acting Compounds Targeting Adenosine A2A Receptor and Histone Deacetylase as Novel Tumor Immunotherapeutic Agents.,metadata_pass_needs_fulltext,False,True,False
68,BDB-50545434,50545434,QFMDFBRPJRPXLV-UHFFFAOYSA-N,10.1016/j.bmcl.2020.127126,32241719,,"New 8-amino-1,2,4-triazolo[4,3-a]pyrazin-3-one derivatives. Evaluation of different moieties on the 6-aryl ring to obtain potent and selective human A2A adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
69,BDB-50375483,50375483,VSEANJMMULLJNQ-UHFFFAOYSA-N,10.1016/j.bmc.2008.01.013,18258439,,A new generation of adenosine receptor antagonists: from di- to trisubstituted aminopyrimidines.,metadata_pass_needs_fulltext,False,True,False
70,BDB-50080287,50080287,KQKYOWHVYGWBHO-UHFFFAOYSA-N,10.1016/s0960-894x(99)00398-4,10476879,,Selective A1-adenosine receptor antagonists identified using yeast Saccharomyces cerevisiae functional assays.,metadata_pass_needs_fulltext,False,True,False
71,BDB-50137635,50137635,MFDDHVJCVCVPIP-UHFFFAOYSA-N,10.1016/j.ejmech.2015.12.019,26717203,,"5,7-Disubstituted-[1,2,4]triazolo[1,5-a][1,3,5]triazines as pharmacological tools to explore the antagonist selectivity profiles toward adenosine receptors.",quarantine_target_not_supported,False,False,False
72,BDB-50537273,50537273,HVFBZUURAZGZKR-UHFFFAOYSA-N,10.1016/j.bmc.2019.02.004,30808606,,"Novel multi-target directed ligands based on annelated xanthine scaffold with aromatic substituents acting on adenosine receptor and monoamine oxidase B. Synthesis, in vitro and in silico studies.",metadata_pass_needs_fulltext,False,True,False
73,BDB-50047987,50047987,NRSCJCCACLWGQC-UHFFFAOYSA-N,10.1021/jm500752h,24972108,,"Scaffold decoration at positions 5 and 8 of 1,2,4-triazolo[1,5-c]pyrimidines to explore the antagonist profiling on adenosine receptors: a preliminary structure-activity relationship study.",quarantine_target_not_supported,False,False,False
74,BDB-50179301,50179301,LYALQSWCHUWEAF-UHFFFAOYSA-N,10.1021/jm050792d,16366607,,2-(Benzimidazol-2-yl)quinoxalines: a novel class of selective antagonists at human A(1) and A(3) adenosine receptors designed by 3D database searching.,metadata_pass_needs_fulltext,False,True,False
75,BDB-50382989,50382989,UKVAEISSAVZLLZ-UHFFFAOYSA-N,10.1021/jm201455y,22250781,PMC3308209,Identification of novel adenosine A(2A) receptor antagonists by virtual screening.,metadata_pass_fulltext_ready,True,True,False
76,BDB-50298497,50298497,GIZJFZFSTGLKAS-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038,19501513,,Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.,metadata_pass_needs_fulltext,False,True,False
77,BDB-50274074,50274074,DKRKGVPEEBGRFA-JTQLQIEISA-N,10.1021/acs.jmedchem.8b00204,29792714,PMC6716773,Docking Screens for Dual Inhibitors of Disparate Drug Targets for Parkinson's Disease.,metadata_pass_fulltext_ready,True,True,False
78,BDB-50341191,50341191,NCWRSHWNMYHJMN-AEFFLSMTSA-N,10.1016/j.bmcl.2011.02.053,21388809,,Discovery of benzothiazole-based adenosine A2B receptor antagonists with improved A2A selectivity.,metadata_pass_requires_endpoint_resolution,False,True,False
79,BDB-50298541,50298541,AZLDXOUTWIDEOW-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038,19501513,,Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.,metadata_pass_needs_fulltext,False,True,False
80,BDB-50594653,50594653,WVAMXXSOZXMUOF-UHFFFAOYSA-N,,34695776,,Adenosine receptor antagonists: Recent advances and therapeutic perspective.,quarantine_nonprimary_source,False,False,False
81,BDB-50399580,50399580,GQQIISWJBGUJTR-UHFFFAOYSA-N,10.1021/jm300899q,23098605,,"Exploring the directionality of 5-substitutions in a new series of 5-alkylaminopyrazolo[4,3-e]1,2,4-triazolo[1,5-c]pyrimidine as a strategy to design novel human a(3) adenosine receptor antagonists.",quarantine_target_not_supported,False,False,False
82,BDB-50389844,50389844,HHIJNJVKPRZBGF-UHFFFAOYSA-N,10.1021/jm300280e,22563707,,A prospective cross-screening study on G-protein-coupled receptors: lessons learned in virtual compound library design.,metadata_pass_needs_fulltext,False,True,False
83,BDB-50248576,50248576,CPCBVGFLWLFBQV-UHFFFAOYSA-N,10.1016/j.bmcl.2009.01.042,19181527,,Synthesis and SAR studies of trisubstituted purinones as potent and selective adenosine A2A receptor antagonists.,metadata_pass_needs_fulltext,False,True,False
84,BDB-50580305,50580305,DSSCLJMOOUNHMW-UHFFFAOYSA-N,10.1021/acs.jmedchem.1c01155,34783558,,Structure-Based Design of Dual-Acting Compounds Targeting Adenosine A2A Receptor and Histone Deacetylase as Novel Tumor Immunotherapeutic Agents.,metadata_pass_needs_fulltext,False,True,False
85,BDB-50102286,50102286,LAKWSLSTUWRCOM-UHFFFAOYSA-N,10.1021/jm001054m|10.1021/jm201177b,11462973|22257095,,"3-Aryl[1,2,4]triazino[4,3-a]benzimidazol-4(10H)-ones: a new class of selective A1 adenosine receptor antagonists. | 3-aryl-[1,2,4]triazino[4,3-a]benzimidazol-4(10H)-one: a novel template for the design of highly selective A₂B adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
86,BDB-50119157,50119157,GAQVVAKOAPHOLM-VGKBRBPRSA-N,10.1016/s0960-894x(02)00609-1,12270178,,Structure-affinity relationships of the affinity of 2-pyrazolyl adenosine analogues for the adenosine A2A receptor.,metadata_pass_needs_fulltext,False,True,False
87,BDB-50038005,50038005,GJLCUFJWXOCCCT-UHFFFAOYSA-N,10.1016/j.ejmech.2014.10.020,25462223,,"Further studies on pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4(3H)-ones as potent and selective human A1 adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
88,BDB-50306789,50306789,LYSQKWDUPSIMCD-UHFFFAOYSA-N,10.1021/jm901647p,20095623,PMC2826142,Structure-based discovery of novel chemotypes for adenosine A(2A) receptor antagonists.,metadata_pass_fulltext_ready,True,True,False
89,BDB-50545419,50545419,SFXLMSXZEZYXTH-UHFFFAOYSA-N,10.1016/j.bmcl.2020.127126,32241719,,"New 8-amino-1,2,4-triazolo[4,3-a]pyrazin-3-one derivatives. Evaluation of different moieties on the 6-aryl ring to obtain potent and selective human A2A adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
90,BDB-50137520,50137520,HFNKEYSOOSBXSY-UHFFFAOYSA-N,10.1016/j.ejmech.2015.12.019,26717203,,"5,7-Disubstituted-[1,2,4]triazolo[1,5-a][1,3,5]triazines as pharmacological tools to explore the antagonist selectivity profiles toward adenosine receptors.",quarantine_target_not_supported,False,False,False
91,BDB-50389835,50389835,SQCJGLDOAFXMRT-UHFFFAOYSA-N,10.1021/jm300280e,22563707,,A prospective cross-screening study on G-protein-coupled receptors: lessons learned in virtual compound library design.,metadata_pass_needs_fulltext,False,True,False
92,BDB-50318270,50318270,ACNFYYUXBQGWQL-UHFFFAOYSA-N,10.1021/jm901785w,20408530,,"Novel N2-substituted pyrazolo[3,4-d]pyrimidine adenosine A3 receptor antagonists: inhibition of A3-mediated human glioblastoma cell proliferation.",metadata_pass_needs_fulltext,False,True,False
